Image Name,mIoU,Class 0 IoU,Class 1 IoU,Class 2 IoU,Class 3 IoU,Class 4 IoU,Class 5 IoU,Class 6 IoU,Class 7 IoU,Class 8 IoU,Class 9 IoU,Class 10 IoU,Class 11 IoU,Class 12 IoU,Class 13 IoU,Class 14 IoU,Class 15 IoU,Class 16 IoU,Class 17 IoU,Class 18 IoU
aachen_000140_000019,0.3567,0.8916,0.9148,0.7794,0,0,0.2067,0.2002,0.3168,0.8983,0.147,0.9166,0.8139,0,0.6911,0,0,0,0,0
aachen_000141_000019,0.4631,0.8647,0.2419,0.8614,0,0,0.2912,0.6334,0.6744,0.7817,0.4097,0.9079,0.7017,0.8165,0.9475,0,0,0,0,0.6668
aachen_000142_000019,0.2827,0.8847,0.6437,0.95,0,0,0.0364,0,0,0.9202,0,0.8106,0.1749,0,0.8339,0,0,0,0,0.1171
aachen_000143_000019,0.4129,0.892,0.8021,0.7428,0.8312,0,0.3877,0.3574,0.4555,0.9146,0.2823,0.8586,0.4627,0,0.8579,0,0,0,0,0
aachen_000144_000019,0.3346,0.8707,0.6286,0.786,0.2401,0,0.1082,0,0.698,0.9058,0.1112,0.7272,0.0775,0,0.7607,0,0,0,0.3739,0.0696
aachen_000145_000019,0.33,0.7663,0.6414,0.8856,0,0,0.2455,0,0.3608,0.8893,0,0.9327,0,0.4158,0.92,0,0,0,0,0.2127
aachen_000146_000019,0.4095,0.8737,0.9481,0.9299,0,0.3413,0.3872,0,0.2158,0.9027,0.3655,0.9488,0.906,0,0.9606,0,0,0,0,0
aachen_000147_000019,0.2542,0.7609,0,0.9388,0,0,0.2746,0,0,0.9203,0.1686,0.8228,0,0,0.9438,0,0,0,0,0
aachen_000148_000019,0.3909,0.8986,0.8838,0.8325,0.82,0,0.6731,0,0,0.7572,0,0.9063,0,0.6884,0.3678,0,0,0,0,0.5989
aachen_000149_000019,0.3602,0.8802,0.7849,0.8359,0,0,0.6118,0.7352,0.2622,0.9033,0.4447,0.8071,0,0,0.578,0,0,0,0,0
aachen_000150_000019,0.3274,0.8393,0.4866,0.6678,0,0,0.3792,0,0.4885,0.9065,0.6982,0.7581,0.2177,0,0.7795,0,0,0,0,0
aachen_000151_000019,0.3259,0.9195,0.8951,0.5332,0.5665,0.2399,0.6746,0,0,0.941,0.122,0.7806,0,0,0.5201,0,0,0,0,0
aachen_000152_000019,0.211,0.7028,0,0.8619,0,0,0,0,0,0.7559,0.7605,0.9277,0,0,0,0,0,0,0,0
